count,o,label
10,http://purl.obolibrary.org/obo/BSPO_0001101,in_deep_part_of
13,http://purl.obolibrary.org/obo/BSPO_0001100,in_superficial_part_of
11,http://purl.obolibrary.org/obo/BSPO_0015101,in_dorsal_side_of
20,http://purl.obolibrary.org/obo/RO_0002385,has potential to developmentally contribute to
9,http://purl.obolibrary.org/obo/BSPO_0015102,in_ventral_side_of
2,http://purl.obolibrary.org/obo/uberon/core#layer_part_of,layer part of
4,http://purl.obolibrary.org/obo/BSPO_0000125,in_distal_side_of
4,http://purl.obolibrary.org/obo/BSPO_0000124,in_proximal_side_of
6,http://purl.obolibrary.org/obo/uberon/core#in_innermost_side_of,in_innermost_side_of
6,http://purl.obolibrary.org/obo/uberon/core#in_outermost_side_of,in_outermost_side_of
1,http://purl.obolibrary.org/obo/BSPO_0015202,aboral_to
9,http://purl.obolibrary.org/obo/uberon/core#in_central_side_of,in_central_side_of
1,http://purl.obolibrary.org/obo/BSPO_0015009,immediately_anterior_to
1,http://purl.obolibrary.org/obo/BSPO_0015012,immediately_posterior_to
71,http://purl.obolibrary.org/obo/RO_0002131,overlaps
